[19-12-2016 | 20:51:11] Move window to correct position.
[19-12-2016 | 20:51:16] Pause
[19-12-2016 | 20:51:17] Switch to attack boss.
[19-12-2016 | 20:51:18] Resume
[19-12-2016 | 20:51:18] Move window to correct position.
[19-12-2016 | 20:53:28] Found angle!!
[19-12-2016 | 20:54:20] Move window to correct position.
[19-12-2016 | 20:55:13] Upgrade level player.
[19-12-2016 | 20:57:50] Exit!!
[19-12-2016 | 20:58:38] Move window to correct position.
[19-12-2016 | 20:58:39] Found angle!!
[19-12-2016 | 20:59:31] Move window to correct position.
[19-12-2016 | 21:00:00] Switch to attack boss.
[19-12-2016 | 21:00:31] Switch to attack boss.
[19-12-2016 | 21:00:32] Switch to attack boss.
[19-12-2016 | 21:00:32] Switch to attack boss.
[19-12-2016 | 21:00:33] Switch to attack boss.
[19-12-2016 | 21:00:34] Switch to attack boss.
[19-12-2016 | 21:00:35] Switch to attack boss.
[19-12-2016 | 21:00:36] Switch to attack boss.
[19-12-2016 | 21:00:37] Switch to attack boss.
[19-12-2016 | 21:03:22] Found angle!!
[19-12-2016 | 21:04:14] Move window to correct position.
[19-12-2016 | 21:04:26] Upgrade level player.
[19-12-2016 | 21:04:27] Upgrade level player.
[19-12-2016 | 21:04:28] Upgrade level player.
[19-12-2016 | 21:04:28] Upgrade level player.
[19-12-2016 | 21:04:29] Upgrade level player.
[19-12-2016 | 21:04:37] Pause
[19-12-2016 | 21:04:40] Resume
[19-12-2016 | 21:04:40] Move window to correct position.
[19-12-2016 | 21:04:52] Upgrade level player.
[19-12-2016 | 21:05:26] Pause
[19-12-2016 | 21:05:49] Resume
[19-12-2016 | 21:05:49] Move window to correct position.
[19-12-2016 | 21:05:49] Switch to attack boss.
[19-12-2016 | 21:07:10] Upgrade level player.
[19-12-2016 | 21:13:58] Pause
[19-12-2016 | 21:14:07] Resume
[19-12-2016 | 21:14:08] Move window to correct position.
[19-12-2016 | 21:14:08] Switch to attack boss.
[19-12-2016 | 21:14:48] Upgrade level player.
[19-12-2016 | 21:17:15] Pause
